substrate_id,tfa_equivalents,reagent_nbs,reagent_nis,reagent_palauchlor,yield
Paracetamol,0,0.0,1.0,0.0,41.0
Paracetamol,1,0.0,1.0,0.0,54.0
Paracetamol,2,0.0,1.0,0.0,57.0
Paracetamol,4,0.0,1.0,0.0,67.0
Paracetamol,6,0.0,1.0,0.0,64.0
Paracetamol,10,0.0,1.0,0.0,47.0
Paracetamol,15,0.0,1.0,0.0,53.0
Paracetamol,25,0.0,1.0,0.0,56.0
Quinine,0,1.0,0.0,0.0,11.11842105
Quinine,1,1.0,0.0,0.0,27.36842105
Quinine,5,1.0,0.0,0.0,0.0
Quinine,2,1.0,0.0,0.0,65.0
Quinine,4,1.0,0.0,0.0,0.0
Quinine,6,1.0,0.0,0.0,0.0
Quinine,10,1.0,0.0,0.0,0.0
Quinine,15,1.0,0.0,0.0,0.0
Quinine,25,1.0,0.0,0.0,0.0
Quinine,0,0.0,0.0,1.0,44.42056075
Quinine,1,0.0,0.0,1.0,92.46728972
Quinine,2,0.0,0.0,1.0,97.0
Quinine,4,0.0,0.0,1.0,0.0
Quinine,6,0.0,0.0,1.0,0.0
Quinine,10,0.0,0.0,1.0,0.0
Quinine,15,0.0,0.0,1.0,0.0
Quinine,25,0.0,0.0,1.0,0.0
Quinine,0,0.0,1.0,0.0,0.0
Quinine,1,0.0,1.0,0.0,0.0
Quinine,2,0.0,1.0,0.0,0.0
Quinine,4,0.0,1.0,0.0,0.0
Quinine,6,0.0,1.0,0.0,0.0
Quinine,10,0.0,1.0,0.0,0.0
Quinine,15,0.0,1.0,0.0,0.0
Quinine,25,0.0,1.0,0.0,0.0
Ribavirin,0,1.0,0.0,0.0,0.0
Ribavirin,1,1.0,0.0,0.0,0.0
Ribavirin,2,1.0,0.0,0.0,0.0
Ribavirin,4,1.0,0.0,0.0,0.0
Ribavirin,6,1.0,0.0,0.0,0.0
Ribavirin,10,1.0,0.0,0.0,0.0
Ribavirin,15,1.0,0.0,0.0,0.0
Ribavirin,25,1.0,0.0,0.0,0.0
Ribavirin,0,0.0,0.0,1.0,0.0
Ribavirin,1,0.0,0.0,1.0,0.0
Ribavirin,2,0.0,0.0,1.0,0.0
Ribavirin,5,0.0,0.0,1.0,0.0
Ribavirin,6,0.0,0.0,1.0,0.0
Ribavirin,10,0.0,0.0,1.0,0.0
Ribavirin,15,0.0,0.0,1.0,0.0
Ribavirin,25,0.0,0.0,1.0,0.0
Ribavirin,0,0.0,1.0,0.0,78.86178862
Ribavirin,1,0.0,1.0,0.0,78.04878049
Ribavirin,5,0.0,1.0,0.0,74.79674797
Ribavirin,2,0.0,1.0,0.0,79.67479675
Ribavirin,4,0.0,1.0,0.0,93.49593496
Ribavirin,6,0.0,1.0,0.0,59.3495935
Ribavirin,10,0.0,1.0,0.0,65.85365854
Ribavirin,15,0.0,1.0,0.0,53.65853659
Ribavirin,25,0.0,1.0,0.0,31.70731707
Risperidone,0,1.0,0.0,0.0,28.0
Risperidone,1,1.0,0.0,0.0,14.4516129
Risperidone,2,1.0,0.0,0.0,5.419354839
Risperidone,4,1.0,0.0,0.0,18.96774194
Risperidone,6,1.0,0.0,0.0,11.74193548
Risperidone,10,1.0,0.0,0.0,2.709677419
Risperidone,15,1.0,0.0,0.0,2.709677419
Risperidone,25,1.0,0.0,0.0,1.806451613
Risperidone,0,0.0,0.0,1.0,0.0
Risperidone,1,0.0,0.0,1.0,0.0
Risperidone,2,0.0,0.0,1.0,0.0
Risperidone,4,0.0,0.0,1.0,34.28571429
Risperidone,6,0.0,0.0,1.0,42.85714286
Risperidone,10,0.0,0.0,1.0,50.0
Risperidone,15,0.0,0.0,1.0,40.71428571
Risperidone,25,0.0,0.0,1.0,32.14285714
Risperidone,0,0.0,1.0,0.0,0.0
Risperidone,1,0.0,1.0,0.0,0.0
Risperidone,2,0.0,1.0,0.0,0.0
Risperidone,4,0.0,1.0,0.0,2.896551724
