substrate_id,reagent,tfa_equivalents,yield
Quinine,nis,25,0
Ribavirin,nbs,0,0
Ribavirin,nbs,1,0
Ribavirin,nbs,2,0
Ribavirin,nbs,4,0
Ribavirin,nbs,6,0
Ribavirin,nbs,10,0
Ribavirin,nbs,15,0
Ribavirin,nbs,25,0
Ribavirin,palauchlor,0,0
Ribavirin,palauchlor,1,0
Ribavirin,palauchlor,2,0
Ribavirin,palauchlor,5,0
Ribavirin,palauchlor,6,0
Ribavirin,palauchlor,10,0
Ribavirin,palauchlor,15,0
Ribavirin,palauchlor,25,0
Ribavirin,nis,0,78.86178862
Ribavirin,nis,1,78.04878049
Ribavirin,nis,5,74.79674797
Ribavirin,nis,2,79.67479675
Ribavirin,nis,4,93.49593496
Ribavirin,nis,6,59.3495935
Ribavirin,nis,10,65.85365854
Ribavirin,nis,15,53.65853659
Ribavirin,nis,25,31.70731707
Risperidone,nbs,0,28
Risperidone,nbs,1,14.4516129
Risperidone,nbs,2,5.419354839
Risperidone,nbs,4,18.96774194
Risperidone,nbs,6,11.74193548
Risperidone,nbs,10,2.709677419
Risperidone,nbs,15,2.709677419
Risperidone,nbs,25,1.806451613
Risperidone,palauchlor,0,0
Risperidone,palauchlor,1,0
Risperidone,palauchlor,2,0
Risperidone,palauchlor,4,34.28571429
Risperidone,palauchlor,6,42.85714286
Risperidone,palauchlor,10,50
Risperidone,palauchlor,15,40.71428571
Risperidone,palauchlor,25,32.14285714
Risperidone,nis,0,0
Risperidone,nis,1,0
Risperidone,nis,2,0
Risperidone,nis,4,2.896551724
Risperidone,nis,6,5.793103448
Risperidone,nis,10,10.13793103
Risperidone,nis,15,10.86206897
Risperidone,nis,25,21
Ritonavir,nbs,0,90
Ritonavir,nbs,1,81.96428571
Ritonavir,nbs,5,36.96428571
Ritonavir,nbs,10,23.30357143
Ritonavir,nbs,15,20.08928571
Ritonavir,nbs,25,16.07142857
Ritonavir,palauchlor,0,15.68571429
Ritonavir,palauchlor,1,61
Ritonavir,palauchlor,2,31.37142857
Ritonavir,palauchlor,4,0
Ritonavir,palauchlor,6,0
Ritonavir,palauchlor,10,0
Ritonavir,palauchlor,15,0
Ritonavir,palauchlor,25,0
Ritonavir,nis,0,21.66666667
Ritonavir,nis,1,61.28571429
Ritonavir,nis,2,65
Ritonavir,nis,4,16.71428571
Ritonavir,nis,6,20.42857143
Ritonavir,nis,10,18.57142857
Ritonavir,nis,15,23.52380952
Ritonavir,nis,25,29.71428571
Salicin,nbs,0,93
Salicin,nbs,1,49.28205128
Salicin,nbs,2,40.53846154
Salicin,nbs,4,33.38461538
Salicin,nbs,6,25.43589744
Salicin,nbs,10,23.05128205
Salicin,nbs,15,19.87179487
Salicin,nbs,25,7.948717949
Salicin,palauchlor,0,1
Salicin,palauchlor,1,76
Salicin,palauchlor,2,78
Salicin,palauchlor,4,63
Salicin,palauchlor,6,71
Salicin,palauchlor,10,51
Salicin,palauchlor,15,39
Salicin,palauchlor,25,33
Salicin,nis,0,63
Salicin,nis,1,16.90243902
Salicin,nis,2,15.36585366
Salicin,nis,4,19.97560976
Salicin,nis,6,18.43902439
Salicin,nis,10,20.74390244
Salicin,nis,15,18.43902439
Salicin,nis,25,16.13414634
Tetracycline,nbs,0,0
Tetracycline,nbs,1,0
Tetracycline,nbs,5,0
Tetracycline,nbs,25,0
Tetracycline,palauchlor,0,0
Tetracycline,palauchlor,1,0
Tetracycline,palauchlor,5,0
Tetracycline,palauchlor,25,0
Tetracycline,nis,0,0
Tetracycline,nis,1,0
Tetracycline,nis,5,0
Tetracycline,nis,25,0
Vardenafil,nbs,0,0
Vardenafil,nbs,1,0
Vardenafil,nbs,2,0
Vardenafil,nbs,4,0
Vardenafil,nbs,6,0
Vardenafil,nbs,10,0
Vardenafil,nbs,15,0
Vardenafil,nbs,25,0
Vardenafil,palauchlor,0,0
Vardenafil,palauchlor,1,0
Vardenafil,palauchlor,2,0
Vardenafil,palauchlor,4,0
Vardenafil,palauchlor,6,0
Vardenafil,palauchlor,10,1
Vardenafil,palauchlor,15,2
Vardenafil,palauchlor,25,4
Vardenafil,nis,0,0
Vardenafil,nis,1,0
Vardenafil,nis,2,0
Vardenafil,nis,4,0
Vardenafil,nis,6,0
Vardenafil,nis,10,0
Vardenafil,nis,15,0
Vardenafil,nis,25,0
Yohimbine,nbs,0,7
Yohimbine,nbs,1,40
Yohimbine,nbs,2,56
Yohimbine,nbs,4,62
Yohimbine,nbs,6,63
Yohimbine,nbs,10,64
Yohimbine,nbs,15,69
Yohimbine,nbs,25,65
Yohimbine,palauchlor,0,0
Yohimbine,palauchlor,1,0
Yohimbine,palauchlor,5,0
Yohimbine,palauchlor,25,0
Yohimbine,nis,0,54
Yohimbine,nis,1,38
Yohimbine,nis,2,83
Yohimbine,nis,4,77
Yohimbine,nis,6,72
Yohimbine,nis,10,69
Yohimbine,nis,15,57
Yohimbine,nis,25,40
