substrate_id,yield,tfa_equivalents,reagent_nbs,reagent_nis,reagent_palauchlor,GATS7d_mordred,softness+_max_aqme,MINaaN_mordred,GATS7s_mordred,MDEO-12_mordred,softness-_indxcarbon_aqme,Buried volume_min_aqme,ETA_dEpsilon_B_mordred,FilterItLogS_mordred,Radical attack_indxcarbon_aqme,AATS7i_mordred,Partial charge_min_aqme,FOD p proportion_indxcarbon_aqme,GATS8d_mordred,SIC1_mordred,MINdssC_mordred,MINsCH3_mordred,BCUTs-1l_mordred,Disp. coeff. C6_max_aqme,Nu_Nucleophil._min_aqme,SaaCH_mordred,MDEO-11_mordred,MAXdO_mordred,BCUTdv-1l_mordred,MAXssCH2_mordred,ATSC2d_mordred
Caffeine,0.0,0.0,1.0,0.0,0.0,0.0,0.0166,3.993148148,0.842287695,,0.0028,0.3094,0.027991453,-0.518726517,0.0345,184.9509801,-0.441,0.013,,0.636137518,,1.455462963,1.401769204,28.819,-0.035,1.519351852,0.25,11.67203704,0.996016858,,3.111111111
Caffeine,0.0,1.0,1.0,0.0,0.0,0.0,0.0166,3.993148148,0.842287695,,0.0028,0.3094,0.027991453,-0.518726517,0.0345,184.9509801,-0.441,0.013,,0.636137518,,1.455462963,1.401769204,28.819,-0.035,1.519351852,0.25,11.67203704,0.996016858,,3.111111111
Caffeine,0.0,2.0,1.0,0.0,0.0,0.0,0.0166,3.993148148,0.842287695,,0.0028,0.3094,0.027991453,-0.518726517,0.0345,184.9509801,-0.441,0.013,,0.636137518,,1.455462963,1.401769204,28.819,-0.035,1.519351852,0.25,11.67203704,0.996016858,,3.111111111
Caffeine,0.0,4.0,1.0,0.0,0.0,0.0,0.0166,3.993148148,0.842287695,,0.0028,0.3094,0.027991453,-0.518726517,0.0345,184.9509801,-0.441,0.013,,0.636137518,,1.455462963,1.401769204,28.819,-0.035,1.519351852,0.25,11.67203704,0.996016858,,3.111111111
Caffeine,0.0,6.0,1.0,0.0,0.0,0.0,0.0166,3.993148148,0.842287695,,0.0028,0.3094,0.027991453,-0.518726517,0.0345,184.9509801,-0.441,0.013,,0.636137518,,1.455462963,1.401769204,28.819,-0.035,1.519351852,0.25,11.67203704,0.996016858,,3.111111111
Caffeine,0.0,10.0,1.0,0.0,0.0,0.0,0.0166,3.993148148,0.842287695,,0.0028,0.3094,0.027991453,-0.518726517,0.0345,184.9509801,-0.441,0.013,,0.636137518,,1.455462963,1.401769204,28.819,-0.035,1.519351852,0.25,11.67203704,0.996016858,,3.111111111
Caffeine,0.0,15.0,1.0,0.0,0.0,0.0,0.0166,3.993148148,0.842287695,,0.0028,0.3094,0.027991453,-0.518726517,0.0345,184.9509801,-0.441,0.013,,0.636137518,,1.455462963,1.401769204,28.819,-0.035,1.519351852,0.25,11.67203704,0.996016858,,3.111111111
Caffeine,0.0,25.0,1.0,0.0,0.0,0.0,0.0166,3.993148148,0.842287695,,0.0028,0.3094,0.027991453,-0.518726517,0.0345,184.9509801,-0.441,0.013,,0.636137518,,1.455462963,1.401769204,28.819,-0.035,1.519351852,0.25,11.67203704,0.996016858,,3.111111111
Caffeine,25.0,0.0,0.0,0.0,1.0,0.0,0.0166,3.993148148,0.842287695,,0.0028,0.3094,0.027991453,-0.518726517,0.0345,184.9509801,-0.441,0.013,,0.636137518,,1.455462963,1.401769204,28.819,-0.035,1.519351852,0.25,11.67203704,0.996016858,,3.111111111
Caffeine,17.0,1.0,0.0,0.0,1.0,0.0,0.0166,3.993148148,0.842287695,,0.0028,0.3094,0.027991453,-0.518726517,0.0345,184.9509801,-0.441,0.013,,0.636137518,,1.455462963,1.401769204,28.819,-0.035,1.519351852,0.25,11.67203704,0.996016858,,3.111111111
Caffeine,9.0,2.0,0.0,0.0,1.0,0.0,0.0166,3.993148148,0.842287695,,0.0028,0.3094,0.027991453,-0.518726517,0.0345,184.9509801,-0.441,0.013,,0.636137518,,1.455462963,1.401769204,28.819,-0.035,1.519351852,0.25,11.67203704,0.996016858,,3.111111111
Caffeine,6.0,4.0,0.0,0.0,1.0,0.0,0.0166,3.993148148,0.842287695,,0.0028,0.3094,0.027991453,-0.518726517,0.0345,184.9509801,-0.441,0.013,,0.636137518,,1.455462963,1.401769204,28.819,-0.035,1.519351852,0.25,11.67203704,0.996016858,,3.111111111
Caffeine,5.0,6.0,0.0,0.0,1.0,0.0,0.0166,3.993148148,0.842287695,,0.0028,0.3094,0.027991453,-0.518726517,0.0345,184.9509801,-0.441,0.013,,0.636137518,,1.455462963,1.401769204,28.819,-0.035,1.519351852,0.25,11.67203704,0.996016858,,3.111111111
Caffeine,3.0,10.0,0.0,0.0,1.0,0.0,0.0166,3.993148148,0.842287695,,0.0028,0.3094,0.027991453,-0.518726517,0.0345,184.9509801,-0.441,0.013,,0.636137518,,1.455462963,1.401769204,28.819,-0.035,1.519351852,0.25,11.67203704,0.996016858,,3.111111111
Caffeine,2.0,15.0,0.0,0.0,1.0,0.0,0.0166,3.993148148,0.842287695,,0.0028,0.3094,0.027991453,-0.518726517,0.0345,184.9509801,-0.441,0.013,,0.636137518,,1.455462963,1.401769204,28.819,-0.035,1.519351852,0.25,11.67203704,0.996016858,,3.111111111
